,,,,,,,
,,,,,,,
SCORING RULES,,,,,,,
2025 DRAFT,,,,,,,
,,,,,,,
,,,,,,,
,Increment,2026-27,2025-26,2024-25,2023-24,2022-23,Baseline Stats
Roster Settings,SRM Increment,,# of Players,,,,
Quarterbacks,±1,2,0,1,2,3,
Running Backs,±1,2,3,2,2,2,
Wide Receivers,±1,2,2,2,2,2,
Tight Ends,±1,1,1,1,1,1,
Kickers,±1,1,0,1,0,0,
Defense,±1,1,1,0,1,1,
Flex (W/R/T),±1,2,2,2,3,3,
Flex (W/R),±1,0,0,0,0,0,
Flex (W/T),±1,0,0,0,0,0,
Flex (Q/W/R/T),±1,0,0,0,0,0,
Flex (IDP),±1,1,0,1,1,0,
DL,±1,0,0,0,0,0,
LB,±1,0,0,0,0,0,
DB,±1,0,0,0,0,0,
Bench,±1,1,0,2,4,5,
Scoring Settings,SRM Increment,,# of Points,,,,
Passing,,,,,,,
Passing Yards ,±0.04,0.02,0.02,0.02,0.02,0.02,
Passing TDs,±3,4,4,4,4,4,
Passing First Down,±1,1,1,1,1,1,
2-pt Conversion,±10,2,2,2,2,2,
Pass Intercepted,±3,-2,-2,-2,-2,-2,
Pick 6 Thrown,±10,0,0,0,,,
Pass Completed,±1,1,1,1,,,
Incomplete Pass,±1,4,3,3,2,1,
Pass Attempt,±1,0,0,0,0,-1,
QB Sacked,±3,1,1,1,1,,
40+ Yard Completion Bonus,±5,0,0,0,,,
40+ Yard Pass TD Bonus,±10,0,0,0,,,
50+ Yard Pass TD Bonus,±10,0,0,0,,,
Rushing,,,,,,,
Rushing Yards ,±0.1,-0.1,-0.1,0,0,0.05,
Rushing TD,±3,6,6,6,6,6,
Rushing First Down,±2,0,0,0,,,
2-pt Conversion,±10,2,2,2,2,2,
Rush Attempt,±1,3,4,1,1,1,
40+ Yard Rush Bonus,±10,0,0,0,,,
40+ Yard Rush TD Bonus,±10,0,0,0,,,
50+ Yard Rush TD Bonus,±10,0,0,0,,,
Receiving,,,,,,,
Reception,±1,-2,-2,-1,0,0,
Receiving Yards ,±0.1,0.2,0.1,0.1,0.1,0.1,
Receiving TD,±3,6,6,6,6,6,
Receiving First Down,±1,0,0,0,,,
2-pt Conversion,±10,2,2,2,2,2,
0-4 Yard Reception Bonus,±2,0,0,0,,,
5-9 Yard Reception Bonus,±2,1,1,1,1,,
10-19 Yard Reception Bonus,±2,0,0,0,,,
20-29 Yard Reception Bonus,±3,0,0,0,,,
30-39 Yard Reception Bonus,±5,0,0,0,,,
40-49 Yard Reception Bonus,±5,0,0,0,,,
50+ Yard Reception Bonus,±5,0,0,0,,,
Reception Bonus - RB,±2,1,1,0,,,
Reception Bonus - WR,±1,2,1,1,,,
Reception Bonus - TE,±2,3,1,1,,,
Kicking,,3,,,,,
FG Made,±3,0,0,0,,,
FG Made (0-19 yards),±50,3,3,3,3,3,
FG Made (20-29 yards),±5,3,3,3,3,3,
FG Made (30-39 yards),±5,3,3,3,3,3,
FG Made (40-49 yards),±5,4,4,4,4,4,
FG Made (50+ yards),±5,5,5,5,5,5,
Points per FG yard (points per yard +/- 0.1),±0.2,0.2,0,0,,,
Points per FG yard over 30,±0.3,0,0,0,,,
PAT Made,±3,1,1,1,1,1,
FG Missed,±5,-1,-1,-1,-1,-1,
FG Missed (0-19 yards),±100,0,0,0,,,
FG Missed (20-29 yards),±50,0,0,0,,,
FG Missed (30-39 yards),±10,0,0,0,,,
FG Missed (40-49 yards),±10,0,0,0,,,
FG Missed (50+ yards),±10,0,0,0,,,
PAT Missed,±10,-1,-1,-1,-1,-1,
Team Defense,,,,,,,
Defense TD,±10,6,6,6,6,6,
Points Allowed (0),±50,5,5,5,5,5,
Points Allowed (1-6),±10,4,4,4,4,4,
Points Allowed (7-13),±10,3,3,3,3,3,
Points Allowed (14-20),±5,1,1,1,1,1,
Points Allowed (21-27),±5,0,0,0,0,0,
Points Allowed (28-34),±5,-1,-1,-1,-1,-1,
Points Allowed (35+),±10,-4,-4,-4,-4,-4,
Points per Point Allowed,±1,3,2,2,2,,
Less Than 100 Total Yards Allowed,±100,5,5,5,5,5,
100-199 Yards Allowed,±10,3,3,3,3,3,
200-299 Yards Allowed,±5,2,2,2,2,2,
300-349 Yards Allowed,±5,0,0,0,0,0,
350-399 Yards Allowed,±5,-1,-1,-1,-1,-1,
400-449 Yards Allowed,±10,-3,-3,-3,-3,-3,
450-499 Yards Allowed,±10,-5,-5,-5,-5,-5,
500-549 Yards Allowed,±10,-6,-6,-6,-6,-6,
550+ Yards Allowed,±50,-7,-7,-7,-7,-7,
Points per Yards Allowed,±0.05,0,0,0,,,
3 and Out,±3,1,1,1,1,,
4th Down Stop,±5,0,0,0,,,
Hit on QB,±2,0,0,0,,,
Sack,±3,1,1,1,1,1,
Sack Yards ,±0.3,0,0,0,,,
Interception,±3,2,2,2,2,2,
Interception Yards ,±0.3,0,0,0,,,
Fumble Recovery,±5,2,2,2,2,2,
Fumble Return Yards ,±0.5,0,0,0,,,
Tackle For Loss,±3,0,0,0,,,
Assisted Tackle,±1,0,0,0,,,
Solo Tackle,±0.5,0,0,0,,,
Tackle,±0.5,0.5,1,1,0,-1,
Safety,±10,2,2,2,2,2,
Forced Fumble,±3,1,1,1,1,1,
Blocked Kick,±10,2,2,2,2,2,
Forced Punt,±2,0,0,0,,,
Pass Defended,±2,0,0,0,,,
2-pt Conversion Returns,±100,0,0,0,,,
Missed FG Return Yards ,±10,0,0,0,,,
Blocked Kick Return Yards ,±10,-10,0,0,,,
Special Teams (D/ST),,,,,,,
Special Teams TD,±10,6,6,6,6,6,
